,Genus,Number of CAZy Families
0,Fusarium,147
1,Fusarium,141
2,Fusarium,148
3,Fusarium,141
4,Fusarium,147
5,Fusarium,147
6,Fusarium,147
7,Fusarium,145
8,Fusarium,149
9,Fusarium,147
10,Fusarium,150
11,Aspergillus,123
12,Aspergillus,135
13,Aspergillus,135
14,Aspergillus,134
15,Aspergillus,120
16,Aspergillus,134
17,Aspergillus,137
18,Aspergillus,122
19,Aspergillus,123
20,Aspergillus,137
21,Aspergillus,137
22,Trichoderma,127
23,Trichoderma,115
24,Trichoderma,122
25,Trichoderma,127
26,Magnaporthe,143
27,Magnaporthe,145
28,Rhynchosporium,129
29,Rhynchosporium,129
30,Rhynchosporium,132
31,Ustilago,91
32,Fungi,147
33,Fungi,141
34,Fungi,148
35,Fungi,141
36,Fungi,147
37,Fungi,147
38,Fungi,147
39,Fungi,145
40,Fungi,149
41,Fungi,147
42,Fungi,150
43,Fungi,123
44,Fungi,135
45,Fungi,135
46,Fungi,134
47,Fungi,120
48,Fungi,134
49,Fungi,137
50,Fungi,122
51,Fungi,123
52,Fungi,137
53,Fungi,137
54,Fungi,127
55,Fungi,115
56,Fungi,122
57,Fungi,127
58,Fungi,143
59,Fungi,145
60,Fungi,129
61,Fungi,129
62,Fungi,132
63,Fungi,91
64,Oomycete,72
65,Oomycete,70
66,Oomycete,75
67,Oomycete,67
68,Oomycete,73
69,Oomycete,73
70,Oomycete,69
71,Oomycete,49
72,Oomycete,58
73,Phytophthora,72
74,Phytophthora,70
75,Phytophthora,75
76,Phytophthora,67
77,Phytophthora,73
78,Phytophthora,73
79,Phytophthora,69
80,Albugo,49
81,Plasmopara,58
