Num_CAZy_Prot_IDs,genus,species,classifier
274,Albugo,candida,DIAMOND
193,Albugo,candida,HMMER
161,Albugo,candida,Hotpep
174,Albugo,candida,dbCAN
3675,Aspergillus,fumigatus,DIAMOND
3382,Aspergillus,fumigatus,HMMER
2820,Aspergillus,fumigatus,Hotpep
2993,Aspergillus,fumigatus,dbCAN
35,Aspergillus,niger,CAZy
2329,Aspergillus,niger,DIAMOND
2174,Aspergillus,niger,HMMER
1636,Aspergillus,niger,Hotpep
1799,Aspergillus,niger,dbCAN
510,Fusarium,graminearum,CAZy
1876,Fusarium,graminearum,DIAMOND
1691,Fusarium,graminearum,HMMER
1336,Fusarium,graminearum,Hotpep
1512,Fusarium,graminearum,dbCAN
4129,Fusarium,oxysporum,DIAMOND
3944,Fusarium,oxysporum,HMMER
2928,Fusarium,oxysporum,Hotpep
3342,Fusarium,oxysporum,dbCAN
2203,Fusarium,proliferatum,DIAMOND
2111,Fusarium,proliferatum,HMMER
1562,Fusarium,proliferatum,Hotpep
1799,Fusarium,proliferatum,dbCAN
615,Magnaporthe,grisea,DIAMOND
548,Magnaporthe,grisea,HMMER
459,Magnaporthe,grisea,Hotpep
506,Magnaporthe,grisea,dbCAN
542,Magnaporthe,oryzae,CAZy
634,Magnaporthe,oryzae,DIAMOND
549,Magnaporthe,oryzae,HMMER
462,Magnaporthe,oryzae,Hotpep
511,Magnaporthe,oryzae,dbCAN
731,Phytophthora,infestans,DIAMOND
934,Phytophthora,infestans,HMMER
669,Phytophthora,infestans,Hotpep
683,Phytophthora,infestans,dbCAN
1,Phytophthora,parasitica,CAZy
2003,Phytophthora,parasitica,DIAMOND
2295,Phytophthora,parasitica,HMMER
1778,Phytophthora,parasitica,Hotpep
1672,Phytophthora,parasitica,dbCAN
527,Phytophthora,sojae,DIAMOND
574,Phytophthora,sojae,HMMER
434,Phytophthora,sojae,Hotpep
444,Phytophthora,sojae,dbCAN
237,Plasmopara,halstedii,DIAMOND
220,Plasmopara,halstedii,HMMER
159,Plasmopara,halstedii,Hotpep
169,Plasmopara,halstedii,dbCAN
481,Rhynchosporium,agropyri,DIAMOND
520,Rhynchosporium,agropyri,HMMER
399,Rhynchosporium,agropyri,Hotpep
428,Rhynchosporium,agropyri,dbCAN
478,Rhynchosporium,commune,DIAMOND
506,Rhynchosporium,commune,HMMER
393,Rhynchosporium,commune,Hotpep
428,Rhynchosporium,commune,dbCAN
466,Rhynchosporium,secalis,DIAMOND
495,Rhynchosporium,secalis,HMMER
382,Rhynchosporium,secalis,Hotpep
409,Rhynchosporium,secalis,dbCAN
421,Trichoderma,citrinoviride,DIAMOND
384,Trichoderma,citrinoviride,HMMER
313,Trichoderma,citrinoviride,Hotpep
335,Trichoderma,citrinoviride,dbCAN
1,Trichoderma,harzianum,CAZy
1495,Trichoderma,harzianum,DIAMOND
1439,Trichoderma,harzianum,HMMER
1138,Trichoderma,harzianum,Hotpep
1209,Trichoderma,harzianum,dbCAN
195,Ustilago,bromivora,CAZy
238,Ustilago,bromivora,DIAMOND
190,Ustilago,bromivora,HMMER
163,Ustilago,bromivora,Hotpep
182,Ustilago,bromivora,dbCAN
