,Genus,Percentage of proteome in CAZome
0,Fusarium,3.9006162318080504
1,Fusarium,4.252980468419717
2,Fusarium,3.6707923410557495
3,Fusarium,3.7813552976413325
4,Fusarium,3.6418732782369143
5,Fusarium,3.6969395096574242
6,Fusarium,4.1449335836984496
7,Fusarium,3.7188914027149322
8,Fusarium,3.858388312912347
9,Fusarium,3.5285365075991075
10,Fusarium,3.9355298077545475
11,Aspergillus,4.092003209414282
12,Aspergillus,4.523560209424084
13,Aspergillus,4.798008373882539
14,Aspergillus,4.791362051512766
15,Aspergillus,4.183939072592307
16,Aspergillus,4.783342712436691
17,Aspergillus,4.5988152934841136
18,Aspergillus,4.241681591101894
19,Aspergillus,4.076183695265219
20,Aspergillus,4.810919668829715
21,Aspergillus,4.814814814814815
22,Trichoderma,3.023339317773788
23,Trichoderma,3.4411915767847976
24,Trichoderma,3.3824573863636362
25,Trichoderma,3.5397460427900507
26,Magnaporthe,4.063604240282685
27,Magnaporthe,4.067746468456475
28,Rhynchosporium,3.1114492202358313
29,Rhynchosporium,3.1302567103049808
30,Rhynchosporium,3.5050364425517975
31,Ustilago,2.73972602739726
32,Fungi,3.9006162318080504
33,Fungi,4.252980468419717
34,Fungi,3.6707923410557495
35,Fungi,3.7813552976413325
36,Fungi,3.6418732782369143
37,Fungi,3.6969395096574242
38,Fungi,4.1449335836984496
39,Fungi,3.7188914027149322
40,Fungi,3.858388312912347
41,Fungi,3.5285365075991075
42,Fungi,3.9355298077545475
43,Fungi,4.092003209414282
44,Fungi,4.523560209424084
45,Fungi,4.798008373882539
46,Fungi,4.791362051512766
47,Fungi,4.183939072592307
48,Fungi,4.783342712436691
49,Fungi,4.5988152934841136
50,Fungi,4.241681591101894
51,Fungi,4.076183695265219
52,Fungi,4.810919668829715
53,Fungi,4.814814814814815
54,Fungi,3.023339317773788
55,Fungi,3.4411915767847976
56,Fungi,3.3824573863636362
57,Fungi,3.5397460427900507
58,Fungi,4.063604240282685
59,Fungi,4.067746468456475
60,Fungi,3.1114492202358313
61,Fungi,3.1302567103049808
62,Fungi,3.5050364425517975
63,Fungi,2.73972602739726
64,Oomycete,1.5615570307785154
65,Oomycete,1.784651992861392
66,Oomycete,1.5620339994035193
67,Oomycete,1.6761041902604756
68,Oomycete,1.5632028789923524
69,Oomycete,1.5873611528069649
70,Oomycete,1.3587985360312986
71,Oomycete,1.3071895424836601
72,Oomycete,1.0925075958368349
73,Phytophthora,1.5615570307785154
74,Phytophthora,1.784651992861392
75,Phytophthora,1.5620339994035193
76,Phytophthora,1.6761041902604756
77,Phytophthora,1.5632028789923524
78,Phytophthora,1.5873611528069649
79,Phytophthora,1.3587985360312986
80,Albugo,1.3071895424836601
81,Plasmopara,1.0925075958368349
