,CAZyClass,Genus,MeanCazyClass,SdCazyClass,MeanClassPerc,SdClassPerc,NumOfGenomes
0,GH,Aspergillus,254.0,6.18,58.34,2.46,11
1,GH,Fusarium,331.18,50.76,54.3,2.69,11
2,GH,Magnaporthe,263.0,5.0,49.86,1.13,2
3,GH,Trichoderma,232.75,24.65,60.18,1.37,4
4,GH,Phytophthora,203.86,32.31,50.69,4.03,7
5,GH,Rhynchosporium,235.67,5.56,55.89,0.3,3
6,GH,Albugo,92.0,0.0,52.87,0.0,1
7,GH,Ustilago,102.0,0.0,51.52,0.0,1
8,GH,Plasmopara,89.0,0.0,52.66,0.0,1
9,GT,Aspergillus,97.18,8.29,22.27,1.36,11
10,GT,Fusarium,111.91,6.43,18.58,1.39,11
11,GT,Magnaporthe,101.0,2.0,19.15,0.42,2
12,GT,Trichoderma,90.25,3.03,23.49,1.36,4
13,GT,Phytophthora,110.0,14.48,27.61,3.16,7
14,GT,Rhynchosporium,81.67,0.94,19.37,0.36,3
15,GT,Albugo,74.0,0.0,42.53,0.0,1
16,GT,Ustilago,61.0,0.0,30.81,0.0,1
17,GT,Plasmopara,66.0,0.0,39.05,0.0,1
18,PL,Aspergillus,13.0,2.49,3.0,0.64,11
19,PL,Fusarium,25.0,2.0,4.14,0.24,11
20,PL,Magnaporthe,6.5,0.5,1.23,0.04,2
21,PL,Trichoderma,4.75,0.43,1.23,0.05,4
22,PL,Phytophthora,40.57,15.95,10.21,4.27,7
23,PL,Rhynchosporium,9.0,0.0,2.14,0.05,3
24,PL,Albugo,1.0,0.0,0.57,0.0,1
25,PL,Ustilago,3.0,0.0,1.52,0.0,1
26,PL,Plasmopara,2.0,0.0,1.18,0.0,1
27,CE,Aspergillus,23.45,1.3,5.39,0.4,11
28,CE,Fusarium,45.73,3.82,7.58,0.62,11
29,CE,Magnaporthe,50.0,1.0,9.48,0.21,2
30,CE,Trichoderma,17.5,3.04,4.5,0.46,4
31,CE,Phytophthora,24.43,4.81,6.13,1.09,7
32,CE,Rhynchosporium,27.67,1.25,6.56,0.17,3
33,CE,Albugo,1.0,0.0,0.57,0.0,1
34,CE,Ustilago,10.0,0.0,5.05,0.0,1
35,CE,Plasmopara,8.0,0.0,4.73,0.0,1
36,AA,Aspergillus,45.18,13.6,10.3,2.81,11
37,AA,Fusarium,83.0,6.77,13.73,0.58,11
38,AA,Magnaporthe,90.5,4.5,17.13,0.14,2
39,AA,Trichoderma,37.0,2.74,9.6,0.15,4
40,AA,Phytophthora,16.57,1.59,4.18,0.56,7
41,AA,Rhynchosporium,62.67,1.89,14.86,0.13,3
42,AA,Albugo,4.0,0.0,2.3,0.0,1
43,AA,Ustilago,20.0,0.0,10.1,0.0,1
44,AA,Plasmopara,4.0,0.0,2.37,0.0,1
45,CBM,Aspergillus,41.64,8.55,9.61,2.16,11
46,CBM,Fusarium,58.64,8.03,9.66,0.81,11
47,CBM,Magnaporthe,65.5,11.5,12.34,1.66,2
48,CBM,Trichoderma,45.5,6.87,11.72,0.85,4
49,CBM,Phytophthora,12.43,1.59,3.12,0.32,7
50,CBM,Rhynchosporium,44.67,0.47,10.6,0.11,3
51,CBM,Albugo,6.0,0.0,3.45,0.0,1
52,CBM,Ustilago,6.0,0.0,3.03,0.0,1
53,CBM,Plasmopara,5.0,0.0,2.96,0.0,1
