	group1	group2	meandiff	p-adj	lower	upper	reject
0	AA-Fungi	AA-Oomycete	-47.066	0.0008	-82.0655	-12.0664	True
1	AA-Fungi	CBM-Fungi	-12.2188	0.8479	-35.4091	10.9716	False
2	AA-Fungi	CBM-Oomycete	-49.9549	0.0003	-84.9544	-14.9553	True
3	AA-Fungi	CE-Fungi	-28.8438	0.0032	-52.0341	-5.6534	True
4	AA-Fungi	CE-Oomycete	-40.8438	0.0082	-75.8433	-5.8442	True
5	AA-Fungi	GH-Fungi	211.125	0.0	187.9347	234.3153	True
6	AA-Fungi	GH-Oomycete	117.8229	0.0	82.8233	152.8225	True
7	AA-Fungi	GT-Fungi	38.1875	0.0	14.9972	61.3778	True
8	AA-Fungi	GT-Oomycete	40.2674	0.0099	5.2678	75.2669	True
9	AA-Fungi	PL-Fungi	-45.8438	0.0	-69.0341	-22.6534	True
10	AA-Fungi	PL-Oomycete	-28.9549	0.2178	-63.9544	6.0447	False
11	AA-Oomycete	CBM-Fungi	34.8472	0.0522	-0.1523	69.8468	False
12	AA-Oomycete	CBM-Oomycete	-2.8889	1.0	-46.617	40.8392	False
13	AA-Oomycete	CE-Fungi	18.2222	0.8579	-16.7773	53.2218	False
14	AA-Oomycete	CE-Oomycete	6.2222	1.0	-37.5059	49.9503	False
15	AA-Oomycete	GH-Fungi	258.191	0.0	223.1914	293.1905	True
16	AA-Oomycete	GH-Oomycete	164.8889	0.0	121.1608	208.617	True
17	AA-Oomycete	GT-Fungi	85.2535	0.0	50.2539	120.253	True
18	AA-Oomycete	GT-Oomycete	87.3333	0.0	43.6052	131.0615	True
19	AA-Oomycete	PL-Fungi	1.2222	1.0	-33.7773	36.2218	False
20	AA-Oomycete	PL-Oomycete	18.1111	0.9685	-25.617	61.8392	False
21	CBM-Fungi	CBM-Oomycete	-37.7361	0.0223	-72.7357	-2.7365	True
22	CBM-Fungi	CE-Fungi	-16.625	0.4329	-39.8153	6.5653	False
23	CBM-Fungi	CE-Oomycete	-28.625	0.2328	-63.6246	6.3746	False
24	CBM-Fungi	GH-Fungi	223.3438	0.0	200.1534	246.5341	True
25	CBM-Fungi	GH-Oomycete	130.0417	0.0	95.0421	165.0412	True
26	CBM-Fungi	GT-Fungi	50.4062	0.0	27.2159	73.5966	True
27	CBM-Fungi	GT-Oomycete	52.4861	0.0001	17.4865	87.4857	True
28	CBM-Fungi	PL-Fungi	-33.625	0.0002	-56.8153	-10.4347	True
29	CBM-Fungi	PL-Oomycete	-16.7361	0.9152	-51.7357	18.2635	False
30	CBM-Oomycete	CE-Fungi	21.1111	0.6988	-13.8885	56.1107	False
31	CBM-Oomycete	CE-Oomycete	9.1111	0.9999	-34.617	52.8392	False
32	CBM-Oomycete	GH-Fungi	261.0799	0.0	226.0803	296.0794	True
33	CBM-Oomycete	GH-Oomycete	167.7778	0.0	124.0497	211.5059	True
34	CBM-Oomycete	GT-Fungi	88.1424	0.0	53.1428	123.1419	True
35	CBM-Oomycete	GT-Oomycete	90.2222	0.0	46.4941	133.9503	True
36	CBM-Oomycete	PL-Fungi	4.1111	1.0	-30.8885	39.1107	False
37	CBM-Oomycete	PL-Oomycete	21.0	0.9128	-22.7281	64.7281	False
38	CE-Fungi	CE-Oomycete	-12.0	0.9929	-46.9996	22.9996	False
39	CE-Fungi	GH-Fungi	239.9688	0.0	216.7784	263.1591	True
40	CE-Fungi	GH-Oomycete	146.6667	0.0	111.6671	181.6662	True
41	CE-Fungi	GT-Fungi	67.0312	0.0	43.8409	90.2216	True
42	CE-Fungi	GT-Oomycete	69.1111	0.0	34.1115	104.1107	True
43	CE-Fungi	PL-Fungi	-17.0	0.3967	-40.1903	6.1903	False
44	CE-Fungi	PL-Oomycete	-0.1111	1.0	-35.1107	34.8885	False
45	CE-Oomycete	GH-Fungi	251.9688	0.0	216.9692	286.9683	True
46	CE-Oomycete	GH-Oomycete	158.6667	0.0	114.9385	202.3948	True
47	CE-Oomycete	GT-Fungi	79.0312	0.0	44.0317	114.0308	True
48	CE-Oomycete	GT-Oomycete	81.1111	0.0	37.383	124.8392	True
49	CE-Oomycete	PL-Fungi	-5.0	1.0	-39.9996	29.9996	False
50	CE-Oomycete	PL-Oomycete	11.8889	0.9991	-31.8392	55.617	False
51	GH-Fungi	GH-Oomycete	-93.3021	0.0	-128.3017	-58.3025	True
52	GH-Fungi	GT-Fungi	-172.9375	0.0	-196.1278	-149.7472	True
53	GH-Fungi	GT-Oomycete	-170.8576	0.0	-205.8572	-135.8581	True
54	GH-Fungi	PL-Fungi	-256.9688	0.0	-280.1591	-233.7784	True
55	GH-Fungi	PL-Oomycete	-240.0799	0.0	-275.0794	-205.0803	True
56	GH-Oomycete	GT-Fungi	-79.6354	0.0	-114.635	-44.6358	True
57	GH-Oomycete	GT-Oomycete	-77.5556	0.0	-121.2837	-33.8274	True
58	GH-Oomycete	PL-Fungi	-163.6667	0.0	-198.6662	-128.6671	True
59	GH-Oomycete	PL-Oomycete	-146.7778	0.0	-190.5059	-103.0497	True
60	GT-Fungi	GT-Oomycete	2.0799	1.0	-32.9197	37.0794	False
61	GT-Fungi	PL-Fungi	-84.0312	0.0	-107.2216	-60.8409	True
62	GT-Fungi	PL-Oomycete	-67.1424	0.0	-102.1419	-32.1428	True
63	GT-Oomycete	PL-Fungi	-86.1111	0.0	-121.1107	-51.1115	True
64	GT-Oomycete	PL-Oomycete	-69.2222	0.0	-112.9503	-25.4941	True
65	PL-Fungi	PL-Oomycete	16.8889	0.9101	-18.1107	51.8885	False
