,Lineage,CAZyClass,Family
0,Oomycete,GH,GH19
1,Oomycete,GH,GH123
2,Oomycete,GT,GT105
3,Oomycete,GT,GT30
4,Oomycete,GT,GT74
5,Oomycete,GT,GT7
6,Oomycete,GT,GT60
7,Oomycete,CE,CE11
8,Oomycete,AA,AA17
9,Oomycete,CBM,CBM9
10,Oomycete,CBM,CBM5
11,Fungi,GH,GH106
12,Fungi,GH,GH67
13,Fungi,GH,GH94
14,Fungi,GH,GH9
15,Fungi,GH,GH88
16,Fungi,GH,GH125
17,Fungi,GH,GH132
18,Fungi,GH,GH162
19,Fungi,GH,GH51
20,Fungi,GH,GH145
21,Fungi,GH,GH95
22,Fungi,GH,GH93
23,Fungi,GH,GH4
24,Fungi,GH,GH8
25,Fungi,GH,GH27
26,Fungi,GH,GH29
27,Fungi,GH,GH45
28,Fungi,GH,GH142
29,Fungi,GH,GH105
30,Fungi,GH,GH128
31,Fungi,GH,GH76
32,Fungi,GH,GH24
33,Fungi,GH,GH62
34,Fungi,GH,GH75
35,Fungi,GH,GH26
36,Fungi,GH,GH33
37,Fungi,GH,GH139
38,Fungi,GH,GH55
39,Fungi,GH,GH134
40,Fungi,GH,GH84
41,Fungi,GH,GH39
42,Fungi,GH,GH20
43,Fungi,GH,GH15
44,Fungi,GH,GH133
45,Fungi,GH,GH36
46,Fungi,GH,GH64
47,Fungi,GH,GH11
48,Fungi,GH,GH42
49,Fungi,GH,GH115
50,Fungi,GH,GH127
51,Fungi,GH,GH154
52,Fungi,GH,GH23
53,Fungi,GH,GH65
54,Fungi,GH,GH92
55,Fungi,GH,GH71
56,Fungi,GH,GH141
57,Fungi,GH,GH146
58,Fungi,GH,GH135
59,Fungi,GH,GH152
60,Fungi,GH,GH108
61,Fungi,GH,GH25
62,Fungi,GH,GH49
63,Fungi,GH,GH79
64,Fungi,GH,GH74
65,Fungi,GT,GT39
66,Fungi,GT,GT61
67,Fungi,GT,GT35
68,Fungi,GT,GT54
69,Fungi,GT,GT64
70,Fungi,GT,GT90
71,Fungi,GT,GT15
72,Fungi,GT,GT0
73,Fungi,GT,GT5
74,Fungi,GT,GT21
75,Fungi,GT,GT109
76,Fungi,GT,GT17
77,Fungi,GT,GT3
78,Fungi,GT,GT34
79,Fungi,GT,GT55
80,Fungi,GT,GT69
81,Fungi,GT,GT25
82,Fungi,PL,PL7
83,Fungi,PL,PL26
84,Fungi,PL,PL42
85,Fungi,PL,PL20
86,Fungi,PL,PL9
87,Fungi,PL,PL27
88,Fungi,PL,PL11
89,Fungi,PL,PL14
90,Fungi,PL,PL8
91,Fungi,PL,PL35
92,Fungi,CE,CE0
93,Fungi,CE,CE3
94,Fungi,CE,CE9
95,Fungi,CE,CE16
96,Fungi,CE,CE1
97,Fungi,CE,CE15
98,Fungi,CE,CE12
99,Fungi,AA,AA12
100,Fungi,AA,AA9
101,Fungi,AA,AA13
102,Fungi,AA,AA0
103,Fungi,AA,AA4
104,Fungi,AA,AA11
105,Fungi,AA,AA7
106,Fungi,AA,AA10
107,Fungi,AA,AA2
108,Fungi,AA,AA14
109,Fungi,AA,AA8
110,Fungi,AA,AA5
111,Fungi,AA,AA16
112,Fungi,CBM,CBM21
113,Fungi,CBM,CBM6
114,Fungi,CBM,CBM63
115,Fungi,CBM,CBM24
116,Fungi,CBM,CBM32
117,Fungi,CBM,CBM66
118,Fungi,CBM,CBM50
119,Fungi,CBM,CBM38
120,Fungi,CBM,CBM35
121,Fungi,CBM,CBM67
122,Fungi,CBM,CBM52
123,Fungi,CBM,CBM48
124,Fungi,CBM,CBM19
125,Fungi,CBM,CBM46
126,Both,GH,GH5
127,Both,GH,GH10
128,Both,GH,GH37
129,Both,GH,GH6
130,Both,GH,GH0
131,Both,GH,GH31
132,Both,GH,GH30
133,Both,GH,GH3
134,Both,GH,GH12
135,Both,GH,GH7
136,Both,GH,GH1
137,Both,GH,GH18
138,Both,GH,GH32
139,Both,GH,GH131
140,Both,GH,GH89
141,Both,GH,GH53
142,Both,GH,GH72
143,Both,GH,GH47
144,Both,GH,GH38
145,Both,GH,GH16
146,Both,GH,GH85
147,Both,GH,GH78
148,Both,GH,GH43
149,Both,GH,GH28
150,Both,GH,GH63
151,Both,GH,GH13
152,Both,GH,GH17
153,Both,GH,GH81
154,Both,GH,GH2
155,Both,GH,GH114
156,Both,GH,GH54
157,Both,GH,GH35
158,Both,GT,GT20
159,Both,GT,GT4
160,Both,GT,GT50
161,Both,GT,GT33
162,Both,GT,GT59
163,Both,GT,GT1
164,Both,GT,GT22
165,Both,GT,GT66
166,Both,GT,GT48
167,Both,GT,GT62
168,Both,GT,GT32
169,Both,GT,GT8
170,Both,GT,GT24
171,Both,GT,GT41
172,Both,GT,GT58
173,Both,GT,GT71
174,Both,GT,GT76
175,Both,GT,GT57
176,Both,GT,GT2
177,Both,GT,GT31
178,Both,PL,PL1
179,Both,PL,PL3
180,Both,PL,PL4
181,Both,CE,CE8
182,Both,CE,CE2
183,Both,CE,CE5
184,Both,CE,CE4
185,Both,AA,AA1
186,Both,AA,AA3
187,Both,AA,AA6
188,Both,CBM,CBM20
189,Both,CBM,CBM1
190,Both,CBM,CBM42
191,Both,CBM,CBM13
192,Both,CBM,CBM18
193,Both,CBM,CBM43
